Source,CH1,CH2
Second,Volt,Volt
-0.40960003125,0.00,0.16000
-0.40940003125,0.02000,0.00
-0.40920000000,0.00,0.00
-0.40900000000,0.02000,0.08000
-0.40880003125,0.00,0.00
-0.40860003125,0.04000,0.00
-0.40840003125,0.00,0.00
-0.40820003125,0.02000,-0.08000
-0.40800003125,0.02000,0.16000
-0.40780003125,0.02000,0.08000
-0.40760000000,0.00,0.16000
-0.40740000000,0.02000,0.08000
-0.40720000000,0.00,0.16000
-0.40700000000,0.02000,0.08000
-0.40680003125,0.00,0.16000
-0.40660003125,0.02000,0.00
-0.40640003125,0.02000,0.16000
-0.40620003125,0.02000,0.16000
-0.40600003125,0.02000,0.00
-0.40580000000,0.02000,0.08000
-0.40560000000,0.02000,0.16000
-0.40540000000,0.02000,0.08000
-0.40520000000,0.00,0.16000
-0.40500000000,0.04000,0.16000
-0.40480003125,0.02000,0.16000
-0.40460003125,0.04000,0.08000
-0.40440003125,0.02000,-0.08000
-0.40420003125,0.06000,-0.08000
-0.40400000000,0.02000,0.00
-0.40380000000,0.02000,0.08000
-0.40360000000,0.00,0.00
-0.40340000000,0.00,0.16000
-0.40320000000,-0.02000,0.16000
-0.40300000000,0.02000,0.08000
-0.40280003125,0.02000,0.00
-0.40260003125,0.04000,0.16000
-0.40240003125,0.00,0.00
-0.40220000000,0.00,0.08000
-0.40200000000,0.00,0.16000
-0.40180000000,0.02000,0.08000
-0.40160000000,0.02000,0.08000
-0.40140000000,0.02000,0.00
-0.40120000000,0.02000,0.16000
-0.40100000000,0.02000,-0.08000
-0.40080003125,0.00,0.16000
-0.40060003125,0.02000,-0.08000
-0.40040000000,0.02000,-0.08000
-0.40020000000,0.02000,-0.08000
-0.40000000000,0.00,-0.08000
-0.39980003125,0.02000,0.00
-0.39960003125,0.00,0.08000
-0.39940003125,0.02000,0.08000
-0.39920003125,0.00,0.16000
-0.39900003125,0.02000,0.08000
-0.39880003125,0.00,0.00
-0.39860003125,0.02000,-0.08000
-0.39840003125,0.00,0.00
-0.39820003125,0.02000,0.16000
-0.39800003125,0.02000,0.00
-0.39780003125,0.02000,0.16000
-0.39760003125,0.02000,0.00
-0.39740003125,0.02000,0.08000
-0.39720003125,0.00,0.00
-0.39700000000,0.02000,0.08000
-0.39680003125,0.02000,0.00
-0.39660003125,0.02000,0.08000
-0.39640003125,0.02000,0.08000
-0.39620003125,0.02000,0.00
-0.39600003125,0.00,0.08000
-0.39580003125,0.02000,0.08000
-0.39560003125,0.02000,0.00
-0.39540003125,0.02000,-0.08000
-0.39520000000,0.00,0.00
-0.39500000000,0.02000,0.08000
-0.39480003125,0.00,0.24000
-0.39460003125,0.02000,0.00
-0.39440003125,0.02000,0.00
-0.39420003125,0.02000,0.08000
-0.39400003125,0.02000,-0.08000
-0.39380003125,0.02000,0.08000
-0.39360003125,0.00,0.16000
-0.39340000000,0.02000,-0.08000
-0.39320000000,0.02000,0.00
-0.39300000000,0.02000,0.08000
-0.39280003125,0.02000,-0.08000
-0.39260003125,0.02000,0.00
-0.39240003125,0.00,0.00
-0.39220003125,0.04000,0.00
-0.39200003125,0.02000,0.16000
-0.39180003125,0.04000,0.00
-0.39160000000,0.02000,0.00
-0.39140000000,0.02000,0.24000
-0.39120000000,0.02000,0.08000
-0.39100000000,0.00,-0.08000
-0.39080003125,0.00,0.16000
-0.39060003125,0.02000,0.08000
-0.39040003125,0.00,0.00
-0.39020003125,0.04000,0.16000
-0.39000000000,0.02000,0.16000
-0.38980000000,0.02000,0.16000
-0.38960000000,0.02000,0.16000
-0.38940000000,0.02000,-0.08000
-0.38920000000,0.00,0.16000
-0.38900000000,0.02000,0.00
-0.38880003125,0.00,0.00
-0.38860003125,0.02000,-0.08000
-0.38840003125,0.00,0.00
-0.38820000000,0.02000,0.08000
-0.38800000000,0.00,0.16000
-0.38780000000,0.02000,-0.08000
-0.38760000000,0.02000,0.00
-0.38740000000,0.04000,0.16000
-0.38720000000,0.00,0.00
-0.38700000000,0.02000,0.00
-0.38680003125,0.00,-0.08000
-0.38660003125,0.00,0.08000
-0.38640000000,0.02000,-0.08000
-0.38620000000,0.02000,-0.08000
-0.38600000000,0.02000,0.08000
-0.38580003125,0.02000,-0.08000
-0.38560003125,0.00,-0.08000
-0.38540003125,0.04000,-0.08000
-0.38520003125,0.00,0.00
-0.38500003125,0.02000,0.00
-0.38480003125,0.02000,0.00
-0.38460003125,0.02000,0.08000
-0.38440003125,0.02000,0.00
-0.38420003125,0.04000,0.00
-0.38400003125,0.02000,0.16000
-0.38380003125,0.00,0.08000
-0.38360003125,0.02000,0.00
-0.38340003125,0.02000,0.00
-0.38320003125,0.00,0.16000
-0.38300003125,0.02000,0.16000
-0.38280003125,0.00,0.00
-0.38260003125,0.02000,0.08000
-0.38240003125,0.02000,0.00
-0.38220003125,0.04000,0.08000
-0.38200003125,0.02000,0.16000
-0.38180003125,0.04000,0.08000
-0.38160003125,0.00,0.16000
-0.38140003125,0.02000,0.00
-0.38120000000,0.02000,0.08000
-0.38100000000,0.00,0.08000
-0.38080003125,0.00,0.00
-0.38060003125,0.02000,0.08000
-0.38040003125,0.02000,0.00
-0.38020003125,0.02000,-0.08000
-0.38000003125,0.02000,0.00
-0.37980003125,0.02000,0.00
-0.37960003125,0.00,0.16000
-0.37940000000,0.02000,0.08000
-0.37920000000,0.00,0.16000
-0.37900000000,0.02000,0.08000
-0.37880003125,0.02000,0.00
-0.37860003125,0.02000,0.00
-0.37840003125,0.00,0.00
-0.37820003125,0.02000,0.16000
-0.37800003125,0.00,0.00
-0.37780003125,0.04000,-0.08000
-0.37760000000,0.02000,0.16000
-0.37740000000,0.00,-0.08000
-0.37720000000,0.00,-0.08000
-0.37700000000,0.02000,0.08000
-0.37680003125,0.00,0.00
-0.37660003125,0.02000,-0.08000
-0.37640003125,0.00,-0.08000
-0.37620003125,0.02000,0.08000
-0.37600003125,0.02000,0.16000
-0.37580000000,0.02000,-0.08000
-0.37560000000,0.02000,0.00
-0.37540000000,0.02000,-0.08000
-0.37520000000,0.00,-0.08000
-0.37500000000,0.02000,0.00
-0.37480003125,0.00,0.00
-0.37460003125,0.04000,0.08000
-0.37440003125,0.00,0.00
-0.37420003125,0.02000,0.08000
-0.37400000000,0.02000,0.08000
-0.37380000000,0.02000,0.08000
-0.37360000000,0.00,0.00
-0.37340000000,0.04000,0.08000
-0.37320000000,0.00,0.16000
-0.37300000000,0.02000,0.00
-0.37280003125,0.02000,0.00
-0.37260003125,0.02000,0.24000
-0.37240000000,0.00,-0.08000
-0.37220000000,0.02000,-0.16000
-0.37200000000,0.00,0.00
-0.37180000000,0.02000,-0.08000
-0.37160000000,0.02000,-0.08000
-0.37140000000,0.04000,0.08000
-0.37120000000,0.02000,0.08000
-0.37100000000,0.02000,0.16000
-0.37080003125,0.00,0.16000
-0.37060000000,0.02000,-0.08000
-0.37040000000,0.00,0.00
-0.37020000000,0.02000,-0.08000
-0.37000000000,0.00,0.00
-0.36980003125,0.02000,0.08000
-0.36960003125,0.00,0.00
-0.36940003125,0.02000,-0.08000
-0.36920003125,0.00,0.00
-0.36900003125,0.02000,-0.08000
-0.36880003125,0.02000,0.00
-0.36860003125,0.04000,0.00
-0.36840003125,0.00,0.24000
-0.36820003125,0.02000,-0.08000
-0.36800003125,0.02000,0.08000
-0.36780003125,0.02000,0.08000
-0.36760003125,0.02000,-0.08000
-0.36740003125,0.02000,0.24000
-0.36720003125,0.02000,0.16000
-0.36700000000,0.02000,0.00
-0.36680003125,0.00,-0.08000
-0.36660003125,0.02000,0.16000
-0.36640003125,0.00,0.00
-0.36620003125,0.02000,0.08000
-0.36600003125,0.00,0.00
-0.36580003125,0.02000,-0.08000
-0.36560003125,0.02000,0.00
-0.36540003125,0.04000,0.08000
-0.36520000000,0.00,0.00
-0.36500000000,0.00,0.08000
-0.36480003125,0.02000,-0.08000
-0.36460003125,0.04000,0.00
-0.36440003125,0.00,0.00
-0.36420003125,0.04000,0.16000
-0.36400003125,0.02000,0.00
-0.36380003125,0.02000,0.00
-0.36360003125,0.02000,0.16000
-0.36340000000,0.02000,0.00
-0.36320000000,0.02000,0.08000
-0.36300000000,0.02000,0.08000
-0.36280003125,0.00,0.16000
-0.36260003125,0.02000,0.16000
-0.36240003125,0.00,0.00
-0.36220003125,0.02000,0.08000
-0.36200003125,0.02000,0.16000
-0.36180000000,0.02000,0.08000
-0.36160000000,0.00,0.08000
-0.36140000000,0.02000,0.00
-0.36120000000,0.00,-0.08000
-0.36100000000,0.04000,0.16000
-0.36080003125,0.02000,0.00
-0.36060003125,0.04000,0.08000
-0.36040003125,0.00,0.00
-0.36020003125,0.02000,0.08000
-0.36000000000,0.00,-0.08000
-0.35980000000,0.02000,-0.08000
-0.35960000000,0.00,0.00
-0.35940000000,0.02000,-0.08000
-0.35920000000,0.00,0.00
-0.35900000000,0.02000,-0.08000
-0.35880003125,0.02000,0.00
-0.35860003125,0.00,-0.08000
-0.35840003125,0.00,-0.08000
-0.35820000000,0.02000,0.00
-0.35800000000,0.02000,-0.08000
-0.35780000000,0.02000,0.00
-0.35760000000,0.02000,0.00
-0.35740000000,0.02000,0.08000
-0.35720000000,0.02000,-0.08000
-0.35700000000,0.02000,-0.08000
-0.35680003125,0.00,0.16000
-0.35660003125,0.04000,0.08000
-0.35640000000,0.00,0.00
-0.35620000000,0.02000,0.08000
-0.35600000000,0.02000,0.16000
-0.35580000000,0.02000,0.16000
-0.35560000000,0.00,0.16000
-0.35540000000,0.02000,0.00
-0.35520000000,0.00,0.00
-0.35500000000,0.00,0.00
-0.35480003125,0.00,0.08000
-0.35460000000,0.02000,0.08000
-0.35440000000,0.00,0.16000
-0.35420000000,0.02000,0.08000
-0.35400000000,0.00,-0.08000
-0.35380003125,0.02000,-0.08000
-0.35360003125,0.00,0.24000
-0.35340003125,0.04000,0.16000
-0.35320003125,0.00,0.00
-0.35300000000,0.02000,0.08000
-0.35280003125,0.02000,0.16000
-0.35260003125,0.02000,0.08000
-0.35240003125,0.00,0.16000
-0.35220003125,0.04000,0.16000
-0.35200003125,0.02000,-0.08000
-0.35180003125,0.02000,0.16000
-0.35160003125,0.02000,0.00
-0.35140003125,0.04000,0.16000
-0.35120000000,0.00,0.00
-0.35100000000,0.02000,0.00
-0.35080003125,0.02000,-0.08000
-0.35060003125,0.04000,0.24000
-0.35040003125,0.02000,0.00
-0.35020003125,0.02000,0.00
-0.35000003125,0.02000,0.16000
-0.34980003125,0.02000,0.16000
-0.34960003125,0.00,0.00
-0.34940000000,0.04000,0.00
-0.34920000000,0.00,0.08000
-0.34900000000,0.04000,0.08000
-0.34880003125,0.00,0.00
-0.34860003125,0.04000,0.08000
-0.34840003125,-0.02000,0.00
-0.34820003125,0.04000,0.08000
-0.34800003125,0.00,0.16000
-0.34780003125,0.04000,0.00
-0.34760000000,0.00,-0.08000
-0.34740000000,0.02000,0.16000
-0.34720000000,0.00,0.16000
-0.34700000000,0.02000,-0.08000
-0.34680003125,0.00,-0.08000
